matrix,build,arm,kernel,cflags,dtype,threads,lmul,runs,time_median_s,time_mean_s,time_std_s,time_min_s,time_max_s,time_iqr_s,time_rel_spread,gops_median,gops_mean,gops_std,gops_min,gops_max,speedup_vs_baseline,speedup_ci_lo,speedup_ci_hi,speedup_significant,speedup_vs_scalar_same_build,speedup_vs_1thread,parallel_efficiency,nnz_c,op_mean,op_max,op_var,cycles_median,instructions_median,ipc,stalls_backend_median,backend_stall_frac,perf_mux_min,cycles_per_nnz_c,march,cc_version,status
ca-CondMat,gcv,omp,scalar_omp_f32,-fopenmp,f32,1,,10,0.233543071,0.234232068,0.001442500,0.233055496,0.237157797,0.000801578,0.0176,0.0353,0.0352,0.0002,0.0348,0.0354,0.9671,0.9603,0.9690,yes,0.9671,1.0000,1.0000,2355437,178.4258,8467,119749.1689,373530272,70863540,0.1897,322239925,0.8627,1.0000,158.5822,-march=rv64gcv -mabi=lp64d,16.1.0,ok
ca-CondMat,gcv,omp,scalar_omp_f32,-fopenmp,f32,2,,10,0.253783905,0.253978156,0.000786593,0.253231395,0.256143349,0.000497221,0.0115,0.0325,0.0325,0.0001,0.0322,0.0326,0.8900,0.8879,0.8918,yes,0.8900,0.9202,0.4601,2355437,178.4258,8467,119749.1689,205348088,36271408,0.1766,176294730,0.8585,1.0000,87.1805,-march=rv64gcv -mabi=lp64d,16.1.0,ok
ca-CondMat,gcv,omp,scalar_omp_f32,-fopenmp,f32,4,,10,0.251447771,0.251791105,0.001396350,0.250559635,0.254655228,0.000972234,0.0163,0.0328,0.0328,0.0002,0.0324,0.0329,0.8983,0.8942,0.9016,yes,0.8983,0.9288,0.2322,2355437,178.4258,8467,119749.1689,99089560,17257707,0.1742,84863302,0.8564,1.0000,42.0684,-march=rv64gcv -mabi=lp64d,16.1.0,ok
ca-CondMat,gcv,omp,scalar_omp_f32,-fopenmp,f32,8,,10,0.252672741,0.259859152,0.012969570,0.251763981,0.294835371,0.013833731,0.1705,0.0327,0.0319,0.0015,0.0280,0.0328,0.8939,0.8490,0.8972,yes,0.8939,0.9243,0.1155,2355437,178.4258,8467,119749.1689,48016624,8291366,0.1727,40942735,0.8527,1.0000,20.3854,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cage12,gcv,intrinsic,rvv_f32_m1,-,f32,1,1,10,0.804047998,0.804188915,0.001214588,0.802820365,0.807221703,0.001604100,0.0055,0.0861,0.0861,0.0001,0.0858,0.0862,1.0190,1.0177,1.0213,yes,1.0190,1.0000,1.0000,15231874,265.7710,989,22031.9179,1285867993,240351315,0.1869,1117859683,0.8693,1.0000,84.4196,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cage12,gcv,intrinsic,rvv_f32_m2,-,f32,1,2,10,0.797965658,0.801633997,0.012987207,0.794007835,0.840045623,0.002380711,0.0577,0.0867,0.0864,0.0013,0.0824,0.0872,1.0267,1.0240,1.0303,yes,1.0267,1.0000,1.0000,15231874,265.7710,989,22031.9179,1276247384,210944868,0.1653,1126971097,0.8830,1.0000,83.7879,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cage12,gcv,intrinsic,rvv_f32_m4,-,f32,1,4,10,0.891592407,0.891932712,0.001263357,0.890569904,0.895067053,0.000756121,0.0050,0.0776,0.0776,0.0001,0.0773,0.0777,0.9189,0.9177,0.9208,yes,0.9189,1.0000,1.0000,15231874,265.7710,989,22031.9179,1426122007,195104062,0.1368,1292518022,0.9063,1.0000,93.6275,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cage12,gcv,autovec,scalar_f32,-,f32,1,,10,0.819285522,0.819658471,0.001302791,0.817911799,0.821751522,0.002310232,0.0047,0.0845,0.0844,0.0001,0.0842,0.0846,1.0000,1.0000,1.0000,,1.0000,1.0000,1.0000,15231874,265.7710,989,22031.9179,1310197413,557450802,0.4255,921182860,0.7031,1.0000,86.0168,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cage12,gcv,baseline,scalar_f32,-fno-tree-vectorize -fno-tree-slp-vectorize,f32,1,,10,0.816422780,0.817033695,0.001314244,0.815531294,0.819128267,0.002915274,0.0044,0.0848,0.0847,0.0002,0.0845,0.0849,1.0035,1.0007,1.0057,yes,1.0035,1.0000,1.0000,15231874,265.7710,989,22031.9179,1305501268,557442070,0.4270,917314010,0.7027,1.0000,85.7085,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cage12,gcv,omp,scalar_omp_f32,-fopenmp,f32,1,,10,0.866029211,0.866071180,0.000377179,0.865574935,0.866623580,0.000813599,0.0012,0.0799,0.0799,0.0000,0.0799,0.0800,0.9460,0.9450,0.9480,yes,0.9460,1.0000,1.0000,15231874,265.7710,989,22031.9179,1385199504,558556368,0.4032,990864037,0.7153,1.0000,90.9408,-march=rv64gcv -mabi=lp64d,16.1.0,ok
